make,mileage,price,body_type,drivetrain,transmission,fuel_type,passengers,is_private,car_age
HONDA,40225.0,9.890858136135986,SEDAN,FWD,Automatic,Gas,5.0,0,3
HONDA,106251.0,9.764110536067486,COUPE,FWD,Automatic,Gas,4.0,0,7
FORD,20000.0,9.578034382397348,SEDAN,FWD,Automatic,Gas,5.0,0,8
RAM,22810.0,10.731842844242117,TRUCK,AWD,Automatic,Gas,5.0,0,3
TOYOTA,149500.0,8.922658299524402,HATCHBACK,FWD,Automatic,Gas Hybrid,5.0,1,8
HONDA,49265.0,9.688374172917182,SEDAN,FWD,CVT,Gas,5.0,0,5
LEXUS,27962.0,10.799330649141178,SUV,AWD,Automatic,Gas,6.0,0,4
VOLKSWAGEN,41573.0,10.2396025825095,HATCHBACK,FWD,Automatic,Gas,5.0,0,4
HONDA,72000.0,9.425451751593128,SEDAN,FWD,Automatic,Gas,5.0,1,7
FORD,157610.0,8.293799608846818,SUV,AWD,Automatic,Gas,5.0,0,13
CHEVROLET,80863.0,9.53097354456765,SEDAN,FWD,Automatic,Gas,5.0,0,5
HYUNDAI,8706.0,10.165544077348937,SUV,AWD,Automatic,Gas,5.0,0,3
KIA,52369.0,10.271181562957294,SUV,AWD,Automatic,Gas,5.0,0,4
JEEP,151400.0,10.281923988256374,SUV,AWD,Automatic,Gas,5.0,1,6
DODGE,75422.0,10.341710224882464,COUPE,RWD,Automatic,Gas,4.0,0,5
HONDA,74236.0,10.239781201782993,SEDAN,FWD,Automatic,Gas,5.0,0,4
